"Apptrian Extensions","Apptrian Extensions"
"Facebook Pixel","Facebook Pixel"
"About","About"
"Facebook Pixel (Client-Side Settings)","Facebook Pixel (Client-Side Settings)"
"Enabled","Enabled"
"Enables or disables Facebook Pixel.","Enables or disables Facebook Pixel."
"Facebook Pixel ID","Facebook Pixel ID"
"Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>","Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>"
"You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>","You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>"
"Add Facebook Pixel To","Add Facebook Pixel To"
"Type page handles (full action names) where you want Facebook Pixel.","Type page handles (full action names) where you want Facebook Pixel."
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear.","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear."
"WARNING! If you enabled server-side events the corresponding client-side events here will be disabled automatically to avoid duplication.","WARNING! If you enabled server-side events the corresponding client-side events here will be disabled automatically to avoid duplication."
"Enable AddToCart Event","Enable AddToCart Event"
"Enable AddToCart event on client-side. <strong>See the tooltip.</strong>","Enable AddToCart event on client-side. <strong>See the tooltip.</strong>"
"This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel.","This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel."
"Enable AddToWishlist Event","Enable AddToWishlist Event"
"Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>","Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>"
"Enable CompleteRegistration Event","Enable CompleteRegistration Event"
"Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>","Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>"
"Enable InitiateCheckout Event","Enable InitiateCheckout Event"
"Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>","Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>"
"Enable Purchase Event","Enable Purchase Event"
"Enable Purchase event on client-side. <strong>See the tooltip.</strong>","Enable Purchase event on client-side. <strong>See the tooltip.</strong>"
"Enable Search Event","Enable Search Event"
"Enable Search event on client-side. <strong>See the tooltip.</strong>","Enable Search event on client-side. <strong>See the tooltip.</strong>"
"Enable ViewContent Event","Enable ViewContent Event"
"Enable ViewContent event on client-side. <strong>See the tooltip.</strong>","Enable ViewContent event on client-side. <strong>See the tooltip.</strong>"
"Move Parameters Outside Contents","Move Parameters Outside Contents"
"Move disallowed parameters outside contents. <strong>WARNING! See the tooltip!</strong>","Move disallowed parameters outside contents. <strong>WARNING! See the tooltip!</strong>"
"<strong>This option should be set to ""Yes"".</strong> Facebook Server-Side API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>.","<strong>This option should be set to ""Yes"".</strong> Facebook Server-Side API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>."
"Detect Selected SKU","Detect Selected SKU"
"Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>WARNING! See the tooltip!</strong>"
"This feature is heavily dependent on the theme you are using and its customization. It is impossible to predict all possible themes and customizations. Because of this detection will not work on every theme. This is why extension default configuration comes with this feature turned off. You can turn it on, try it out if it is working for you and if it does leave it on, otherwise turn it off. If you are a developer you will be pleased to know that everything is conveniently located in <strong>code.phtml</strong> file. To make it work, in some cases only the adjustment of few jQuery selectors is needed in others complete rewrite of detection code is needed. Because of this, <strong>we do not give any warranty for the detection feature, nor it is covered by our support service</strong>.","This feature is heavily dependent on the theme you are using and its customization. It is impossible to predict all possible themes and customizations. Because of this detection will not work on every theme. This is why extension default configuration comes with this feature turned off. You can turn it on, try it out if it is working for you and if it does leave it on, otherwise turn it off. If you are a developer you will be pleased to know that everything is conveniently located in <strong>code.phtml</strong> file. To make it work, in some cases only the adjustment of few jQuery selectors is needed in others complete rewrite of detection code is needed. Because of this, <strong>we do not give any warranty for the detection feature, nor it is covered by our support service</strong>."
"Detect Selected SKUs (Bundle)","Detect Selected SKUs (Bundle)"
"Try to detect selected SKUs for bundle products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKUs for bundle products. <strong>WARNING! See the tooltip!</strong>"
"Detect Selected SKU (Configurable)","Detect Selected SKU (Configurable)"
"Try to detect selected SKU for configurable products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKU for configurable products. <strong>WARNING! See the tooltip!</strong>"
"Detect Selected SKUs (Grouped)","Detect Selected SKUs (Grouped)"
"Try to detect selected SKUs for grouped products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKUs for grouped products. <strong>WARNING! See the tooltip!</strong>"
"Facebook Server-Side API (Server-Side Settings)","Facebook Server-Side API (Server-Side Settings)"
"Enable Facebook Server-Side API","Enable Facebook Server-Side API"
"Enables or disables Facebook Server-Side API. <strong>WARNING! See the tooltip!</strong>","Enables or disables Facebook Server-Side API. <strong>WARNING! See the tooltip!</strong>"
"Facebook Server-Side API will not work without valid Access Token and API Version.","Facebook Server-Side API will not work without valid Access Token and API Version."
"Facebook Access Token","Facebook Access Token"
"Your Facebook Access Token. <strong>WARNING! See the tooltip!</strong>","Your Facebook Access Token. <strong>WARNING! See the tooltip!</strong>"
"Facebook Server-Side API will not work without a valid Access Token.","Facebook Server-Side API will not work without a valid Access Token."
"Facebook API Version","Facebook API Version"
"Your Facebook API Version. <strong>WARNING! See the tooltip!</strong>","Your Facebook API Version. <strong>WARNING! See the tooltip!</strong>"
"Facebook Server-Side API will not work without a valid API Version.","Facebook Server-Side API will not work without a valid API Version."
"Test Event Code","Test Event Code"
"Your <strong>test_event_code</strong> for testing events. <strong>WARNING! See the tooltip!</strong>","Your <strong>test_event_code</strong> for testing events. <strong>WARNING! See the tooltip!</strong>"
"<strong>WARNING! Leave this field empty! Only use it for testing purposes.</strong> Facebook Server-Side API allows you to test your events. Be aware Facebook gives priority to Facebook Pixel (client-side) events. If both Facebook Pixel (client-side) and Facebook Server-Side API (server-side) events are fired the latter will be disregarded (dropped). The test_event_code is useful if your Magento store is in production and you want to test server-side events without turning off Facebook Pixel (client-side) events. You can see test events in your Facebook Business Manager.","<strong>WARNING! Leave this field empty! Only use it for testing purposes.</strong> Facebook Server-Side API allows you to test your events. Be aware Facebook gives priority to Facebook Pixel (client-side) events. If both Facebook Pixel (client-side) and Facebook Server-Side API (server-side) events are fired the latter will be disregarded (dropped). The test_event_code is useful if your Magento store is in production and you want to test server-side events without turning off Facebook Pixel (client-side) events. You can see test events in your Facebook Business Manager."
"Log Events","Log Events"
"Enable logging of events. <strong>WARNING! See the tooltip.</strong>","Enable logging of events. <strong>WARNING! See the tooltip.</strong>"
"<strong>WARNING! Leave this option disabled! Only enable it for debugging purposes.</strong>","<strong>WARNING! Leave this option disabled! Only enable it for debugging purposes.</strong>"
"WARNING! If you enable server-side events here the corresponding client-side events will be disabled automatically to avoid duplication.","WARNING! If you enable server-side events here the corresponding client-side events will be disabled automatically to avoid duplication."
"Enable AddToCart event on server-side. <strong>See the tooltip.</strong>","Enable AddToCart event on server-side. <strong>See the tooltip.</strong>"
"This option enables the server-side firing of the event. This is done with PHP on your server by the Facebook Server-Side API.","This option enables the server-side firing of the event. This is done with PHP on your server by the Facebook Server-Side API."
"Enable AddToWishlist event on server-side. <strong>See the tooltip.</strong>","Enable AddToWishlist event on server-side. <strong>See the tooltip.</strong>"
"Enable CompleteRegistration event on server-side. <strong>See the tooltip.</strong>","Enable CompleteRegistration event on server-side. <strong>See the tooltip.</strong>"
"Enable InitiateCheckout event on server-side. <strong>See the tooltip.</strong>","Enable InitiateCheckout event on server-side. <strong>See the tooltip.</strong>"
"Enable Purchase event on server-side. <strong>See the tooltip.</strong>","Enable Purchase event on server-side. <strong>See the tooltip.</strong>"
