country,region_state,city,zip_postcode_from,zip_postcode_to,product_shipping_group,weight_over,weight_under_and_equal,order_total_over,order_total_under_and_equal,item_price_over,item_price_under_and_equal,customer_group,customer_shipping_group,shipping_price,delivery_type,position,shipping_code_group,delivery_note,product_sku,rate_type
*,*,*,*,*,ASSSOFTWARE,*,*,*,*,*,*,*,,0,Standard,,,,,ALL
*,*,*,*,*,DOWNLOAD,*,*,*,*,*,*,*,,0,Standard,,,,,ALL
*,*,*,*,*,ATTRIBUTESET,*,*,*,*,*,*,*,,0,Standard,,,,,ALL
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,,5,Standard,,1,,,ALL
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,FREEDEL,0,Standard,,1,,,ALL
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,FLAT500,5,Standard,,1,,,ALL
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,STANDARD_W,5,Standard,,1,,,ALL
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,BESPOKE2,9.95,Standard,7,1,,,EACH
"GBR,IMN",*,*,*,*,OFFCHAIR,*,*,*,*,*,*,*,BESPOKE2,0,Standard,6,1,,,EACH
"GBR,IMN",*,*,*,*,VISITCHAIR,*,*,*,*,*,*,*,BESPOKE2,0,Standard,5,1,,,EACH
"GBR,IMN",*,*,*,*,PLATFORM,*,*,*,*,*,*,*,BESPOKE2,12.95,Standard,4,1,,,EACH
"GBR,IMN",*,*,*,*,BUNDLEOPTION,*,*,*,*,*,*,*,BESPOKE2,0,Standard,3,1,,,EACH
"GBR,IMN",*,*,*,*,DESK,*,*,*,*,*,*,*,BESPOKE2,29.95,Standard,2,1,,,EACH
"GBR,IMN",*,*,*,*,VISITCHAIR,*,*,*,*,*,*,*,BESPOKE3,10,Standard,1,1,,,EACH
"GBR,IMN",*,*,*,*,OFFCHAIR,*,*,*,*,*,*,*,BESPOKE3,10,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,BUNDLEOPTION,*,*,*,*,*,*,*,BESPOKE3,0,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,PLATFORM,*,*,*,*,*,*,*,BESPOKE3,10,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,DESK,*,*,*,*,*,*,*,BESPOKE3,25,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,BESPOKE3,5,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,DESK,*,*,*,*,*,*,*,BESPOKE4,29.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,PLATFORM,*,*,*,*,*,*,*,BESPOKE4,12.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,BESPOKE4,5,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,VISITCHAIR,*,*,*,*,*,*,*,BESPOKE4,21.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,OFFCHAIR,*,*,*,*,*,*,*,BESPOKE4,21.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,BUNDLEOPTION,*,*,*,*,*,*,*,BESPOKE4,0,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,BESPOKE5,0,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,FLAT750,7.5,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,FLAT1000,10,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,FOC,0,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,DESK,*,*,*,*,*,*,*,STANDARD,29.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,PLATFORM,*,*,*,*,*,*,*,STANDARD,12.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,*,*,*,*,*,*,*,*,STANDARD,9.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,VISITCHAIR,*,*,*,*,*,*,*,STANDARD,21.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,OFFCHAIR,*,*,*,*,*,*,*,STANDARD,21.95,Standard,,1,,,EACH
"GBR,IMN",*,*,*,*,BUNDLEOPTION,*,*,*,*,*,*,*,STANDARD,0,Standard,,1,,,EACH
"AUT,BEL,BGR,CZE,DNK,EST,FIN,FRA,DEU,HUN,ITA,LVA,LTU,LUX,POL,ROU,SVK,SVN,ESP,SWE",*,*,*,*,*,*,*,*,*,*,*,*,,20.95,Standard,,,,,EACH
"AUT,BEL,BGR,CZE,DNK,EST,FIN,FRA,DEU,HUN,ITA,LVA,LTU,LUX,POL,ROU,SVK,SVN,ESP,SWE",*,*,*,*,VISITCHAIR,*,*,*,*,*,*,*,,29.95,Standard,,,,,EACH
"AUT,BEL,BGR,CZE,DNK,EST,FIN,FRA,DEU,HUN,ITA,LVA,LTU,LUX,POL,ROU,SVK,SVN,ESP,SWE",*,*,*,*,OFFCHAIR,*,*,*,*,*,*,*,,29.95,Standard,,,,,EACH
"AUT,BEL,BGR,CZE,DNK,EST,FIN,FRA,DEU,HUN,ITA,LVA,LTU,LUX,POL,ROU,SVK,SVN,ESP,SWE",*,*,*,*,DESK,*,*,*,*,*,*,*,,34.95,Standard,,,,,EACH
